TEAM_ID,PLAYER_ID,PLAYER_NAME,JERSEY_NUMBER,POSITION,POSITION_TYPE,STATUS,TEAM_NAME
120,686894,Joey Wiemer,42,LF,Outfielder,Active,Washington Nationals
120,678391,Jorbit Vivas,42,2B,Infielder,Active,Washington Nationals
120,677588,José Tena,42,3B,Infielder,Active,Washington Nationals
120,660688,Keibert Ruiz,42,C,Catcher,Active,Washington Nationals
120,671277,Luis García Jr.,42,2B,Infielder,Active,Washington Nationals
120,571945,Miles Mikolas,42,P,Pitcher,Active,Washington Nationals
120,680730,Mitchell Parker,42,P,Pitcher,Active,Washington Nationals
120,683083,Nasim Nuñez,42,SS,Infielder,Active,Washington Nationals
120,687377,Orlando Ribalta,42,P,Pitcher,Active,Washington Nationals
120,676571,PJ Poulin,42,P,Pitcher,Active,Washington Nationals
120,687606,Paxton Schultz,42,P,Pitcher,Active,Washington Nationals
120,641793,Zack Littell,42,P,Pitcher,Active,Washington Nationals
121,681810,Austin Warren,42,P,Pitcher,Active,New York Mets
121,666182,Bo Bichette,42,SS,Infielder,Active,New York Mets
121,683146,Brett Baty,42,3B,Infielder,Active,New York Mets
121,548384,Brooks Raley,42,P,Pitcher,Active,New York Mets
121,701807,Carson Benge,42,OF,Outfielder,Active,New York Mets
121,605280,Clay Holmes,42,P,Pitcher,Active,New York Mets
121,518886,Craig Kimbrel,42,P,Pitcher,Active,New York Mets
121,656849,David Peterson,42,P,Pitcher,Active,New York Mets
121,642207,Devin Williams,42,P,Pitcher,Active,New York Mets
121,682626,Francisco Alvarez,42,C,Catcher,Active,New York Mets
121,596019,Francisco Lindor,42,SS,Infielder,Active,New York Mets
121,642547,Freddy Peralta,42,P,Pitcher,Active,New York Mets
121,623211,Huascar Brazobán,42,P,Pitcher,Active,New York Mets
121,676724,Jared Young,42,LF,Outfielder,Active,New York Mets
121,593871,Jorge Polanco,42,2B,Infielder,Active,New York Mets
121,673540,Kodai Senga,42,P,Pitcher,Active,New York Mets
121,673357,Luis Robert Jr.,42,CF,Outfielder,Active,New York Mets
121,620443,Luis Torrens,42,C,Catcher,Active,New York Mets
121,596133,Luke Weaver,42,P,Pitcher,Active,New York Mets
121,543760,Marcus Semien,42,2B,Infielder,Active,New York Mets
121,668901,Mark Vientos,42,3B,Infielder,Active,New York Mets
121,690997,Nolan McLean,42,P,Pitcher,Active,New York Mets
121,640455,Sean Manaea,42,P,Pitcher,Active,New York Mets
121,668964,Tobias Myers,42,P,Pitcher,Active,New York Mets
121,502054,Tommy Pham,42,LF,Outfielder,Active,New York Mets
121,621438,Tyrone Taylor,42,CF,Outfielder,Active,New York Mets
